query,product,label
# 2 pencils not sharpened,"Emraw No 2 HB Wood Cased Premium Pencils with Eraser Top, Bulk Pack of 24 Unsharpened Pencil - for Kids, Students, Teachers, Office and Home Use",exact
# 2 pencils not sharpened,"Emraw Pre Sharpened Triangular Primary Size No 2 Jumbo Pencils for Preschoolers, Elementary Kids - Pack of 6 Fat Pencils with Bonus Sharpener",irrelevant
# 2 pencils not sharpened,"BIC Evolution Cased Pencil, #2 Lead, Gray Barrel, 24-Count (PGEBP241-BLK)",substitute
# 2 pencils not sharpened,"Maped Essentials Triangular Graphite #2 Pencils, Pack of 12 (851779ZT)",exact
# 2 pencils not sharpened,"Wood-Cased #2 HB Pencils, Yellow, Pre-sharpened, Class Pack, 576 pencils in box by Madisi",substitute
# 2 pencils not sharpened,24 Pieces Checking Erasable Pencils Red Pencils Pre-Sharpened #2 HB with Erasable Tops for Checking Map Coloring Tests Grading,substitute
# 2 pencils not sharpened,"BIC Xtra Fun Cased Pencil, 2 Lead, Assorted Barrel Colors, 48-Count",exact
# 2 pencils not sharpened,"Wood-Cased #2 HB Pencils, Yellow, Pre-sharpened, Class Pack, 320 pencils",irrelevant
# 2 pencils not sharpened,"Wood-Cased #2 HB Pencils, Yellow, Pre-sharpened, Class Pack, 1000 pencils",substitute
# 2 pencils not sharpened,"Rarlan Wood-Cased #2 HB Pencils, Pre-sharpened, 200 Count Classpack",exact
# 2 pencils not sharpened,Holographic Pencils with Erasers Metallic Assorted Colors Wooden Glitter Pencils Optical Illusion Pencils HB Pencils (36 Pieces),exact
# 2 pencils not sharpened,Color Changing Mood Pencil for Kid 2B Changing Pencil Assorted Color Thermochromic Pencils with Eraser for Students (30 Pieces),exact
# 2 pencils not sharpened,YOTINO Pre-sharpened Wood Cased #2 HB Pencils - Box of 100,substitute
# 2 pencils not sharpened,"Wood-Cased #2 HB Pencils, Shuttle Art 600 Pack Sharpened Yellow Pencils with Erasers, Bulk Pack Graphite Pencils for School and Teacher Supplies, Writhing, Drawing and Sketching",substitute
# 2 pencils not sharpened,"Wood-Cased #2 HB Pencils, Shuttle Art 350 Pack Sharpened Yellow Pencils with Erasers, Bulk Pack Graphite Pencils for School and Teacher Supplies, Writhing, Drawing and Sketching",substitute
# 2 pencils not sharpened,"AHXML#2 HB Wood Cased Graphite Pencils, Pre-Sharpened with Free Erasers, Smooth write for Exams, School, Office, Drawing and Sketching, Pack of 48",substitute
# 2 pencils not sharpened,"12Packs #2HB Graphite Pencils,Pre-Sharpened with Latex Free Erasers,Wood-Cased Graphite Pencils Perfect for Exams, School, Office, Drawing and Sketching",exact
# 2 pencils not sharpened,"HB pencils with eraser set 12 pack + 2 Erasers + 5 Sharpener,for School and Kids Writing pencil.(Green)",substitute
# 2 pencils not sharpened,"Weibo HB Wood Cased Graphite School Pencils, Pack of 12, Bulk, Pre-Sharpened with Erasers and Sharpener, Office Supplies for Exams, School, Office, Drawing and Sketching (Green)",substitute
# 2 pencils not sharpened,"Environmentally friendly black wood pencils, (30 pcs per barrel) triangle grip pen design, graphite HB lead core with eraser, suitable for children and adults to write sketches and paint",substitute
# 2 pencils not sharpened,Neon Pencils for Kids HB Wood Pencil with Eraser Fluorescent Colored Wood Pencils Colorful Round Pencils Writing Drawing Pencils School Student Reward Supplies (60),exact
# mom life,"Mom, I Want to Hear Your Story: A Mother’s Guided Journal To Share Her Life & Her Love (Hear Your Story Books)",substitute
# mom life,"Garden of Life Oceans Mom Prenatal Fish Oil Dha, Omega 3 Fish Oil Supplement - Strawberry, 350Mg Prenatal Dha, Pregnancy Fish Oil Support For Moms Mood And Babys Brain & Eye Development, 30 Softgels",substitute
# mom life,LOOKFACE Women Funny Graphic T Shirt Cute Short Sleeve Tees Tops Wine Red Small,exact
# mom life,"iChunhua Women's Comfy Stretch Floral Print Drawstring Palazzo Wide Leg Lounge Pants(M,Blue)",irrelevant
# mom life,Womens I Run On Coffee Chaos Cuss Words Funny V-Neck Short Sleeve Summer T-Shirt Size XL (Burgundy),substitute
# mom life,Mom Life is Ruff T-Shirt Women's Funny Dog Paw O Neck Short Sleeve Tops Blouse Size Tag L,exact
# mom life,MACCHIASHINE Unique Sleeveless MOM Life Printed Shirt Womens Cotton Tank Tops(GR-XL) Green,exact
# mom life,Distressed Baseball Cap - Mom Life (Black),exact
# mom life,Waldeal Embroidered Mom Life Vintage Adjustable Baseball Cap Cotton Denim Dad Hat Black,exact
# mom life,"Diliflyer Women's Mom Life Boys Girls Letters T Shirts Graphic Tees (XL, B-mom Life)",substitute
# mom life,"Life is Good Girls Vintage Crusher Graphic T-Shirt, Horses Coastal Blue, Large",irrelevant
# mom life,"Women Mama Life Zip Up Pullover Sweatshirt Jacket  High Collar Quarter 1/4 Zip Hoodie Coat (White, M)",substitute
# mom life,"Dearfoams Women's Giftable Mothers Day Furry Scuff Slipper, Mom Life, X-Large",irrelevant
# mom life,#momlife | Trendy Mother Mom Life Gift PopSockets PopGrip: Swappable Grip for Phones & Tablets,exact
# mom life,"Mom Life Car Decal- Pink, Mint Green, or White - Cute Sticker for Women - 6"" Size for Laptop or Window (White)",exact
# mom life,ElegantPark Mom Life Tote Bag Mothers Day Baby Shower Gifts for New Mom Christmas Birthday Gifts for Mom Canvas Mom Tote Bag with Zipper and Pocket,exact
#1 best and not expensive bath back brush cream color,"Tecnu Extreme Poison Ivy and Oak Scrub, Removes Poisonous Plant Oils That Cause Rash and Itching, 4 Ounces",irrelevant
#1 best and not expensive bath back brush cream color,Aquasentials Exfoliating Mesh Brush,exact
#1 best and not expensive bath back brush cream color,"Neutrogena Sensitive Skin Mineral Sunscreen Lotion with Broad Spectrum SPF 60+ & Zinc Oxide, Water-Resistant, Hypoallergenic, Fragrance- & Oil-Free Gentle Sunscreen Formula, 3 fl. oz",irrelevant
#1 best and not expensive bath back brush cream color,SheaMoisture Curl and Shine Coconut Shampoo for Curly Hair Coconut and Hibiscus Paraben Free Shampoo 13 oz,irrelevant
#1 best and not expensive bath back brush cream color,"Bio-Oil 58834PurCellin Aceite Corporal, 125 ml",irrelevant
#1 best and not expensive bath back brush cream color,Pasta Stardrops Pink Stuff 500 gr.,irrelevant
#1 best and not expensive bath back brush cream color,"Tea Tree & Peppermint Foot & Body Wash | Helps with Body Odor, Athletes Foot, Ringworm, Jock Itch, Yeast Infection & Skin Irritations | Shower Gel for Women/Men. Made by Purely Northwest 9Fl Oz",irrelevant
#1 best and not expensive bath back brush cream color,"Bar Keepers Friend Powder Cleanser 12 Oz - Multipurpose Cleaner & Stain Remover - Bathroom, Kitchen & Outdoor Use - for Stainless Steel, Aluminum, Brass, Ceramic, Porcelain, Bronze and More (2 Pack)",irrelevant
#1 best and not expensive bath back brush cream color,"Dry Skin Body Brush - Improves Skin's Health and Beauty - Natural Bristle - Remove Dead Skin and Toxins, Cellulite Treatment, Improves Lymphatic Functions, Exfoliates, Stimulates Blood Circulation",exact
#1 best and not expensive bath back brush cream color,"CSM Body Brush For Beautiful Skin - Solid Wood Frame & Boar Hair Exfoliating Brush To Exfoliate & Soften Skin, Improve Circulation, Stop Ingrown Hairs, Reduce Acne and Cellulite",exact
#1 best and not expensive bath back brush cream color,Beaueli Bath Body Brush With Long Handle for Exfoliating Back Scrubber for Shower Cellulite Massager Exfoliation Dry or Wet Skin Brush Improve Lymphatic Stimulate Blood Circulation Detox,substitute
#1 best and not expensive bath back brush cream color,"Vive Shower Brush - Dry Skin Body Exfoliator - Shower and Bath Scrubber For Wash Brushing, Exfoliating, Cellulite, Foot Scrub, Leg Exfoliant - Soft and Stiff Massage Bristles - Wooden Long Handle",exact
#1 best and not expensive bath back brush cream color,"Pumice Stone for Feet - X-Large Foot File Callus Remover for Feet, Foot Scrubber for Foot Care as Foot Exfoliator, Pedicure Tools for Foot Scrub, Callous Removers for Feet, Dead Skin Remover for Feet",irrelevant
#1 best and not expensive bath back brush cream color,"Majestic Pure Himalayan Salt Body Scrub with Lychee Oil, Exfoliating Salt Scrub to Exfoliate & Moisturize Skin, Deep Cleansing - 10 oz",complement
#1 best and not expensive bath back brush cream color,"Vive Lotion Applicator for Your Back (4 Pads) - Long Reach Handle with Sponge for Easy Self Application of Shower Bath Body Wash Brush, Skin Cream, Suntan, Tanning, Aloe - Men, Women",exact
#1 best and not expensive bath back brush cream color,"TubShroom Tub Hair Catcher Drain Protector, Fits 1.5""-1.75"", Gray",irrelevant
#1 best and not expensive bath back brush cream color,"Long Handled Loofah on a Stick Body Back Scrubber, Bath Sponge (4 Colors, 4 Pack)",substitute
#1 best and not expensive bath back brush cream color,"Jergens Natural Glow In Shower Lotion, Self Tanner for Medium to Deep Skin Tone, Sunless Tanning Wet Skin Lotion for Gradual, Flawless Color, 7.5 Ounce (Packaging May Vary)",irrelevant
#1 best and not expensive bath back brush cream color,"Lysol Laundry Sanitizer Additive, Crisp Linen, 90oz, Packaging May Vary",irrelevant
#1 best and not expensive bath back brush cream color,"Amazon Basics - Tapete de silicona para hornear, juego de 2 unidades",exact
#1 best and not expensive bath back brush cream color,"Dry Brushing Body Brush - Best for Exfoliating Dry Skin, Lymphatic Drainage and Cellulite Treatment - Organic Spa Exfoliator and Massage Scrub Brush with Natural Boar Bristles",substitute
#1 best and not expensive bath back brush cream color,"Exfoliating Brush, Body Brush, Ingrown Hair and Razor Bump Treatment - Eliminate Shaving Irritation for Face, Armpit, Legs, Neck, Bikini Line - Silky Smooth Skin Solution for Men and Women by Dylonic (1 Pack)",substitute
#1 best and not expensive bath back brush cream color,"Theraplex Clear Lotion Spray (8 oz) - Natural Jojoba Oil, No Parabens or Preservatives, Noncomedogenic and Hypoallergenic, Dermatologist recommended - National Eczema Association Seal of Acceptance",irrelevant
#1 best and not expensive bath back brush cream color,Little Bado Turtle Baby Bath Toys Spray Bathing Tub Fountain Toys for Kid Hand Shower Floating Bathtub Shower Pool Bathroom Toy for Baby Toddler Infant Kids,exact
#1 best and not expensive bath back brush cream color,Bamyko Shower Body Brush with Long Handle Shower Brush Back Scrubber Body Brush Sponge Loofahs 2 Pack + Self Adhesive Hooks 2 PCS,substitute
#1 best and not expensive bath back brush cream color,"Molton Brown Jasmine & Sun Rose Bath & Shower Gel, 10 Fl Oz",complement
#1 best and not expensive bath back brush cream color,"Chikoni Dry Bath Body Brush Back Scrubber with Anti-slip Long Wooden Handle, 100% Natural Bristles Body Massager, Perfect for Exfoliating, Detox and Cellulite, Blood Circulation, Good for Health",exact
#1 best and not expensive bath back brush cream color,"Upgraded Bath Body Brush with Comfy Bristles Long Handle Gentle Exfoliation Improve Skin's Health and Beauty Bath Shower Wet or Dry Brushing Body Brush (14 inch, White)",substitute
#1 best and not expensive bath back brush cream color,"Bath Scrubber Body Brush Shower Scrubber Back Brush with Long Handle, Ergonomic Nonslip Durable (Gray)",substitute
#1 best and not expensive bath back brush cream color,BS-MALL Makeup Brush Set 18 Pcs Premium Synthetic Foundation Powder Concealers Eye shadows Blush Makeup Brushes with black case (Champagne Gold),irrelevant
#1 best and not expensive bath back brush cream color,Foot Peel Mask 3 Pack， Exfoliator Peel Off Calluses Dead Skin Callus Remover，Baby Soft Smooth Touch Feet-Men Women (Lavender),irrelevant
#1 best and not expensive bath back brush cream color,"Holikme 20Piece Drill Brush Attachments Set, Scrub Pads & Sponge, Buffing Pads, Power Scrubber Brush with Extend Long Attachment, Car Polishing Pad Kit",irrelevant
#1 best and not expensive bath back brush cream color,"EcoTools EcoPouf Bath Brush, Shower Loofah with Ergonomic Handle, Cleans Hard to Reach Areas, Deep Cleansing and Exfoliating, Set of 2, Perfect for Men & Women",exact
#1 best and not expensive bath back brush cream color,"2 IN 1 Bath Body Brush with Soft Loofah and Bristles,Back Scrubber with Curved Long Handled Shower Brush for Wet or Dry, Women & Men Body,Face and Spa Washing",substitute
#1 best and not expensive bath back brush cream color,"LFJ 3 in 1 Back Bath Brush Set for Shower, 19"" Long Handle Body Brush, Bath Sponge and Pumice Gentle Exfoliation and Improved Skin Health, Suitable for Men and Women",exact
#1 best and not expensive bath back brush cream color,"Metene Shower Body Exfoliating Brush, Bath Back Cleaning Scrubber with Long Wooden Handle, Dry or Wet Skin Exfoliator Brush with Soft and Stiff Bristles Back Washer for Men Women",exact
#1 best and not expensive bath back brush cream color,"Metene Bamboo Body Brush with Stiff and Soft Natural Bristles, Back Scrubber for Shower with Long Handle, Dual-sided Brush Head for Wet or Dry Brushing, Exfoliating Skin and Clean the Body Easily",exact
#1 best and not expensive bath back brush cream color,Peak Essentials | Tongue Scraper | Mint Blast - Natural TUNG Gel Kit | Tongue Cleaner | Odor Eliminator | Fight Bad Breath | Fresh Mint | BPA Free | Made in America (STARTER PACK),irrelevant
#1 best and not expensive bath back brush cream color,"YIVEKO Baby Bath Silicone Brush for Infants Cradle Cap Brush Silicone Bath Scrubber Skin Soother Baby Essential for Dry Skin, Cradle Cap and Eczema (1 Pack)-Blue",exact
#1 best and not expensive bath back brush cream color,"Dry Brushing Body Brush Set of 2, Natural Bristle Dry Skin Exfoliating Brush, Long Handle Back Scrubber for Shower, Dry Brush for Cellulite and Lymphatic Massage, Improve Blood Circulation",substitute
#1 selling shoes for men without shoeleases,"Crocs Unisex-Adult Men's and Women's Classic Clog, Black, 9",substitute
#1 selling shoes for men without shoeleases,Nike Men's Air Force 1 '07 Shoes 315122 White/White 10.5,irrelevant
#1 selling shoes for men without shoeleases,"New Balance Men's 577 V1 Hook and Loop Walking Shoe, Black, 13 M US",exact
#1 selling shoes for men without shoeleases,"Nike Men's Air Monarch IV Cross Trainer, Black/Black, 12.0 Regular US",substitute
#1 selling shoes for men without shoeleases,"Fila Men's Memory Workshift-M, Black/Black/Black, 8.5 M US",exact
#1 selling shoes for men without shoeleases,"Skechers mens Afterburn M. Fit fashion sneakers, Black, 8.5 US",exact
#1 selling shoes for men without shoeleases,"Skechers for Work Men's Felton Shoe, Black, 13 M US",irrelevant
#1 selling shoes for men without shoeleases,"New Balance Men's 813 V1 Lace-Up Walking Shoe, Black/Black, 13 XXW US",irrelevant
#1 selling shoes for men without shoeleases,"Skechers Sport Men's Equalizer Persistent Slip-On Sneaker, Black, 10 XW US",exact
#1 selling shoes for men without shoeleases,"Skechers USA Men's Braver Rayland Slip-On Loafer,Dark Brown Leather,13 M US",exact
#1 selling shoes for men without shoeleases,"adidas Originals Men's Seeley Running Shoe, Black/Black/Black, 10 M US",substitute
#1 selling shoes for men without shoeleases,"Skechers Men's Equalizer Double Play Slip-On Loafer,Charcoal/Orange,9 M US",exact
#1 selling shoes for men without shoeleases,"ASICS Men's Gel Venture 5 Trail Running Shoe, Castle Rock/Silver/Fiery Red, 10 M US",exact
#1 selling shoes for men without shoeleases,"New Balance mens 928 V3 Hook and Loop Walking Shoe, Black/Black, 10 XX-Wide US",exact
#1 selling shoes for men without shoeleases,ASICS Men's Gel-Venture 6 Black/Phantom/Mid Grey Running Shoe 10 M US,irrelevant
#1 selling shoes for men without shoeleases,"Skechers for Work Women's Ghenter Bronaugh Work and Food Service Shoe , BLACK, 8.5 W US",irrelevant
#1 selling shoes for men without shoeleases,"Skechers USA Men's Expected Gomel Slip-on Loafer,Black,9.5 2W US",exact
#1 selling shoes for men without shoeleases,"Hey Dude Men's Wally Stretch Blue, Size 12",substitute
#1 selling shoes for men without shoeleases,"adidas Men's Lite Racer Adapt Running Shoe, Black/White, 12 M US",exact
#1 selling shoes for men without shoeleases,"adidas Women's Cloud foam Pure Running Shoe, White/White/Black, 6.5 US",irrelevant
#1 selling shoes for men without shoeleases,"Skechers Men's Go Walk Max-Athletic Air Mesh Slip on Walkking Shoe Sneaker,Navy/Gray,10 X-Wide US",exact
#1 selling shoes for men without shoeleases,"Crocs Men's LiteRide Pacer Sneaker, Black/White, 9 M US",exact
#1 selling shoes for men without shoeleases,"Skechers Men's Classic Fit-Delson-Camden Sneaker, Black/Grey, 10 Wide US",substitute
#1 selling shoes for men without shoeleases,"Skechers Men's Relaxed Fit-Elent-Mosen Boat Shoe, Black, 11 M US",substitute
#1 selling shoes for men without shoeleases,"Hey Dude Men's Wally Sox Ash, Size 10",substitute
#1 selling shoes for men without shoeleases,"Xero Shoes Men's Prio Cross Training Shoe - Lightweight Zero Drop, Barefoot, Black, 11",substitute
#1 selling shoes for men without shoeleases,"New Balance Men's 608 V5 Casual Comfort Cross Trainer, White/Navy, 10.5 W US",irrelevant
#1 selling shoes for men without shoeleases,"New Balance Women's FuelCore Nergize V1 Sneaker, Black/Magnet, 9",substitute
#1 selling shoes for men without shoeleases,"Skechers mens Cessnock Food Service Shoe, Black, 12 US",exact
#1 selling shoes for men without shoeleases,"Skechers Men's GO Walk Evolution Ultra-Impeccable Sneaker, Khaki, 12 X-Wide",exact
#1 selling shoes for men without shoeleases,"ECCO Men's ST.1 Hybrid Plain Toe Oxford, Cognac, 9-9.5",irrelevant
#1 selling shoes for men without shoeleases,Under Armour mens Charged Assert 8 Running Shoe Black (003)/Black 10.5,substitute
#1 selling shoes for men without shoeleases,BRONAX Mens Fashion Sneakers Slip on Lightweight Street Trending Stylish Lace up Casual Walking Athletic Sport Shoes for Men Sapatos Tenis para Correr de Hombre Red Size 12,irrelevant
#1 selling shoes for men without shoeleases,"Skechers Men's Moreno Canvas Oxford Shoe, Taupe, 11.5 Medium US",irrelevant
#1 selling shoes for men without shoeleases,"ASICS Men's Gel-Venture 7 Running Shoes, 10.5, Electric Blue/Sheet Rock",substitute
#1 selling shoes for men without shoeleases,Feetmat Men's Athletic Shoes Lightweight Sneaker Walking Tennis Slip On Shoes Wide Fashion Sneakers Barefoot Running Shoes Grey 11M,irrelevant
#1 selling shoes for men without shoeleases,"Under Armour Men's Charged Pursuit 2 Running Shoe, Black (001)/White, 10 M US",substitute
#1 selling shoes for men without shoeleases,COSIDRAM Men Casual Shoes Sneakers Loafers Walking Shoes Lightweight Driving Business Office Slip on Black 11,exact
#1 selling shoes for men without shoeleases,"ASICS Men's Hyper Throw 3 Track & Field Shoes, 15, Black/White",substitute
#1 selling shoes for men without shoeleases,"JSLEAP Mens Running Shoes Walking Non Slip Sports Fashion Casual Shoes Dark Green,US 9",exact
#1 small corded treadmill without remote control,"Sunny Health & Fitness SF-T1407M Foldable Manual Walking Treadmill, Gray",exact
#1 small corded treadmill without remote control,NordicTrack T Series Treadmill + 30-Day iFIT Membership,substitute
#1 small corded treadmill without remote control,"UMAY Under Desk Treadmill with Foldable Wheels, Portable Walking Pad Flat Slim Treadmill with Free Sports App & Remote Control, Jogging Running Machine for Home/Office",substitute
#1 small corded treadmill without remote control,"SUNNY HEALTH & FITNESS ASUNA Space Saving Treadmill, Motorized with Speakers for AUX Audio Connection - 8730G",exact
#1 small corded treadmill without remote control,WalkingPad A1 Pro Smart Walk Folding Treadmill Slim Foldable Exercise Fitness Equipment Under Desk Running Walking Pad Outdoor Indoor Gym,exact
#1 small corded treadmill without remote control,"Goplus Under Desk Treadmill, with Touchable LED Display and Wireless Remote Control, Built-in 3 Workout Modes and 12 Programs, Walking Jogging Machine, Superfit Electric Treadmill for Home Office",substitute
#1 small corded treadmill without remote control,"Goplus 2 in 1 Folding Treadmill with Dual Display, 2.25HP Superfit Under Desk Electric Pad Treadmill, Installation-Free, Blue Tooth Speaker, Remote Control, Walking Jogging Machine for Home/Office Use",exact
#1 small corded treadmill without remote control,"GOYOUTH 2 in 1 Under Desk Electric Treadmill Motorized Exercise Machine with Wireless Speaker, Remote Control and LED Display, Walking Jogging Machine for Home/Office Use",exact
#1 small corded treadmill without remote control,RHYTHM FUN Treadmill 2-in-1 Folding Treadmill Under Desk Walking Treadmill with Foldable Handrail Wide Tread Belt Super Slim Mini Quiet Home Treadmill with Smart Remote Control and Workout App（Sliver）,substitute
#1 small corded treadmill without remote control,"BiFanuo 2 in 1 Folding Treadmill, Smart Walking Running Machine with Bluetooth Audio Speakers, Installation-Free，Under Desk Treadmill for Home/Office Gym Cardio Fitness（Red）",exact
#1 small corded treadmill without remote control,"Goplus 2 in 1 Folding Treadmill, 2.25HP Superfit Under Desk Electric Treadmill, Installation-Free with Blue Tooth Speaker, Remote Control, APP Control and LED Display, Walking Jogging for Home Office",substitute
#1 small corded treadmill without remote control,"Goplus 2 in 1 Folding Treadmill, 2.25HP Under Desk Electric Superfit Treadmill, Installation-Free with APP Control, Remote Control, Bluetooth Speaker and LED Display, Jogging Walking for Home/Office",irrelevant
#1 small corded treadmill without remote control,"HOTSYSTEM 2 in 1 Installation-Free Folding Treadmill, 2.5HP Portable Under Desk Treadmill with Bluetooth, LED, Remote Control Smart Treadmill for Home Office Cardio Exercise",substitute
#1 small corded treadmill without remote control,Soiiw Walking Pad Treadmill Electric Under Desk Smart Slim Fitness Jogging Training Cardio Workout with LED Display & Wireless Remote Control for Home Office,substitute
#1 small corded treadmill without remote control,"ANCHEER Treadmill,Folding Treadmill for Home Workout,Electric Walking Under Desk Treadmill with APP Control, Portable Exercise Walking Jogging Running Machine (Silver)",exact
#1 small corded treadmill without remote control,"Egofit Walker Pro Smallest Under Desk Electric Walking Treadmill for Home, Small & Compact Treadmill to Fit Desk Perfectly and Home & Office with APP & Remote Contro",irrelevant
#10 window envelopes not self seal,"Quality Park Redi-Seal Security Window Envelopes, 10 (4 1/8"" x 9 1/2""), White, Box of 500",substitute
#10 window envelopes not self seal,"Quality Park Redi-Seal Double-Window Security Envelopes, 10, 4 1/8"" x 9 1/2"", White, Box of 500",irrelevant
#10 window envelopes not self seal,BAZIC #10 Self-Seal White Envelope (50/Pack),irrelevant
#10 window envelopes not self seal,"Check O Matic Double Window Security Tinted Envelopes - Compatible for QuickBooks Checks and for Computer Printed Checks, 3-5/8 X 8-11/16 Inches - 100 Pack",exact
#10 window envelopes not self seal,100 Self Seal Double Window Security Tinted Envelopes - for Computer Checks-Compatible for QuickBooks 3-5/8 X 8-11/6,irrelevant
#10 window envelopes not self seal,"500 Self Seal QuickBooks Double Window Security Check Envelopes - for Business Laser Checks, Ultra Security Tinted, Self Adhesive Peel & Seal White, Size 3 5/8 x 8 11/16-24lb NOT for INVOICES",irrelevant
#10 window envelopes not self seal,500 Double Window Check Envelopes Self Seal with Security Tint Works with all Software,exact
#10 window envelopes not self seal,"EnDoc #10 Double Window Envelopes - 50 Pack - Self Seal, Flip and Seal Security Tinted Envelopes, Can be used for Invoices, Statement and for Return Envelopes - 9 1/8"" X 4 1/8""",substitute
#10 window envelopes not self seal,100 Double Window SELF Seal Security Check Envelopes - Compatible with QuickBooks and Other Checks,irrelevant
#10 window envelopes not self seal,"500#10 Double Window Security Business Mailing Envelopes - for Invoices, Statements and Legal Documents - GUMMED Closure, Security Tinted - Size 4-1/8 x 9-1/2 - White - 24 LB - 500 Count (30101)",exact
#10 window envelopes not self seal,"#10 Security Tinted Self-Seal Envelopes - No Window - EnveGuard, Size 4-1/8 X 9-1/2 Inches - White - 24 LB - 100 Count (34100)",exact
#10 window envelopes not self seal,"550 SELF Seal Double Window Security Envelopes - Designed for QuickBooks Checks, Business Checks, and Computer Checks - Security Tinted - Peel & Seal - 3 5/8” x 8 11/16” - 24 LB (NOT for INVOICES)",irrelevant
#10 window envelopes not self seal,"#9 Double Window SELF SEAL Security Envelopes - 550 Per Box - Designed for QuickBooks Invoices, Business Correspondence, and Legal Documents - Security Tinted - Peel & Seal - 3 7/8"" x 8 7/8"" - 24 LB",exact
#10 window envelopes not self seal,500 Self Seal Double Window Security Envelopes - Designed for QuickBooks Checks - Computer Printed Checks - 3 5/8 X 8 11/16 (NOT for INVOICES),irrelevant
#10 window envelopes not self seal,500 No. 9 Double Window Security Envelopes - Designed for Quickbooks Invoices and Business Statements with Self Seal Peel and Seal Flap - Number 9 Size 3 7/8 Inch X 8 7/8 Inch,substitute
#10 window envelopes not self seal,"500 No. 10 Self Seal Double Window Security Envelopes - Perfect Size for Multiple Business Statements, Quickbooks Invoices, and Return Envelopes - Number 10 Size 4 1/8 Inch X 9 ½ Inch",exact
#10 window envelopes not self seal,500 No. 10 Self Seal Security Envelopes - 10 Envelopes Self Seal Designed for Secure Mailing - Security Tinted with Printer Friendly Design - Number 10 Size 4 1/8 x 9 ½ Inch - Pack of 500,irrelevant
#10 window envelopes not self seal,"500 No. 10 Gummed Double Window Security Envelopes - Perfect Size for Multiple Business Statements, Quickbooks Invoices, and Return Envelopes - Number 10 Size 4 1/8 X 9 ½ Inch",exact
#10 window envelopes not self seal,500 Gummed Double Window Security Check Envelopes - Designed for QuickBooks Checks - Computer Printed Checks - Gummed Flap - 3 5/8 X 8 11/16,exact
#10 window envelopes not self seal,"500 No. 10 Flip and Seal Double Window Security Envelopes - Perfect Size for Multiple Business Statements, Quickbooks Invoices, and Return Envelopes -Number 10 Size 4 1/8 X 9 ½ Inch",exact
#10 window envelopes not self seal,"500#10 Single Window Envelopes-Thick Gummed Seal-Designed for Secure mailing of Quickbooks Checks, invoices, Business Statements, Personal Letters - 4 1/8 x 9 1/2",exact
